create_at,updated_at,code,latitude,longitude,address,start_time,end_time,name,type,slug
2023-06-18 16:10:24,2023-06-18 16:10:24,100000,21.02616843,105.8535759,Số 75 Phố Đinh Tiên Hoàng Phường Tràng Tiền Hoàn Kiếm Hà Nội,0.0,43200.0,Bưu điện Trung tâm 1 Quốc Tế,GD1,12
2023-06-18 16:10:25,2023-06-18 16:10:25,100100,21.02616843,105.8535759,Số 6 Phố đinh Lễ Phường Tràng Tiền Hoàn Kiếm Hà Nội,0.0,43200.0,Bưu điện Trung tâm 1 Quốc Tế,GD3,13
