,id,created_at,updated_at,available,average_fee_transport,average_gas_consume,average_velocity,fixed_cost,driver_name,gas_price,height,length,max_capacity,max_load_weight,max_velocity,min_velocity,name,type,width,dx_code,vehicle_cost,manager_node
85,86,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,486600
86,87,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,486900
87,88,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,487600
88,89,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,488400
89,90,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,489100
90,91,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe tải (loại 3 chỗ),,,,489400
91,92,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,Xe 2 chỗ,,,,511172
92,93,,,1,0.1,0.02,60,,,22000,,,[8.0],,90,40,,xe vận tải,,,,550915
93,94,,,1,0.1,0.02,60,,,22000,,,[3.20000004768372],,90,40,,xe vận tải,,,,550915
94,95,,,1,0.1,0.02,60,,,22000,,,[1400.0],,90,40,,xe vận tải,,,,550915
95,96,,,1,0.1,0.02,60,,,22000,,,[0.899999976158142],,90,40,,xe vận tải,,,,550915
96,97,,,1,0.1,0.02,60,,,22000,,,[3.40000009536743],,90,40,,xe vận tải,,,,550915
97,98,,,1,0.1,0.02,60,,,22000,,,[0.800000011920929],,90,40,,xe vận tải,,,,550915
98,99,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,551000
99,100,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,551000
100,101,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,554310
101,102,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,561100
102,103,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,561280
103,104,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,562700
104,105,,,1,0.1,0.02,60,,,22000,,,[1.64999997615814],,90,40,,xe tải (loại 3 chỗ),,,,591217
105,106,,,1,0.1,0.02,60,,,22000,,,[1.5],,90,40,,xe vận tải,,,,600000
106,107,,,1,0.1,0.02,60,,,22000,,,[0.629999995231628],,90,40,,xe tải (loại 3 chỗ),,,,600000
107,108,,,1,0.1,0.02,60,,,22000,,,[0.629999995231628],,90,40,,xe tải (loại 3 chỗ),,,,600000
108,109,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,600000
109,110,,,1,0.1,0.02,60,,,22000,,,[1.5],,90,40,,xe vận tải,,,,600000
110,111,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,600000
111,112,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,601700
112,113,,,1,0.1,0.02,60,,,22000,,,[0.75],,90,40,,xe tải (loại 3 chỗ),,,,601700
113,114,,,1,0.1,0.02,60,,,22000,,,[1.08000004291534],,90,40,,xe tải (loại 3 chỗ),,,,602100
114,115,,,1,0.1,0.02,60,,,22000,,,[0.75],,90,40,,xe tải (loại 3 chỗ),,,,602100
115,116,,,1,0.1,0.02,60,,,22000,,,[0.709999978542328],,90,40,,xe vận tải,,,,602100
116,117,,,1,0.1,0.02,60,,,22000,,,[1.03999996185303],,90,40,,xe tải (loại 3 chỗ),,,,602400
117,118,,,1,0.1,0.02,60,,,22000,,,[1.70000004768372],,90,40,,xe tải (loại 3 chỗ),,,,602600
118,119,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,602600
119,120,,,1,0.1,0.02,60,,,22000,,,[2.09999990463257],,90,40,,xe tải (loại 3 chỗ),,,,603000
120,121,,,1,0.1,0.02,60,,,22000,,,[1.60000002384186],,90,40,,xe tải (loại 3 chỗ),,,,603400
121,122,,,1,0.1,0.02,60,,,22000,,,[1.70000004768372],,90,40,,xe tải (loại 3 chỗ),,,,603800
122,123,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,603800
123,124,,,1,0.1,0.02,60,,,22000,,,[1.79999995231628],,90,40,,xe tải (loại 3 chỗ),,,,604200
124,125,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,604200
125,126,,,1,0.1,0.02,60,,,22000,,,[1.70000004768372],,90,40,,xe tải (loại 3 chỗ),,,,604700
126,127,,,1,0.1,0.02,60,,,22000,,,[0.75],,90,40,,xe vận tải,,,,604700
127,128,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,605050
128,129,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe tải (loại 3 chỗ),,,,605050
129,130,,,1,0.1,0.02,60,,,22000,,,[0.800000011920929],,90,40,,xe tải (loại 3 chỗ),,,,605300
130,131,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe vận tải,,,,605300
131,132,,,1,0.1,0.02,60,,,22000,,,[1.03999996185303],,90,40,,xe tải (loại 3 chỗ),,,,605700
132,133,,,1,0.1,0.02,60,,,22000,,,[1.70000004768372],,90,40,,xe tải (loại 3 chỗ),,,,606000
133,134,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,606400
134,135,,,1,0.1,0.02,60,,,22000,,,[0.800000011920929],,90,40,,xe tải (loại 3 chỗ),,,,606900
135,136,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe tải (loại 3 chỗ),,,,620000
136,137,,,1,0.1,0.02,60,,,22000,,,[0.699999988079071],,90,40,,xe tải (loại 3 chỗ),,,,620000
137,138,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,650000
138,139,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,650000
139,140,,,1,0.1,0.02,60,,,22000,,,[500.0],,90,40,,xe tải (loại 3 chỗ),,,,652090
140,141,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,652900
141,142,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,654200
142,143,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,654400
143,144,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe tải (loại 3 chỗ),,,,661437
144,145,,,1,0.1,0.02,60,,,22000,,,[0.349999994039536],,90,40,,xe vận tải,,,,662600
145,146,,,1,0.1,0.02,60,,,22000,,,[0.349999994039536],,90,40,,xe vận tải,,,,662900
146,147,,,1,0.1,0.02,60,,,22000,,,[0.5],,90,40,,xe vận tải,,,,663167
147,148,,,1,0.1,0.02,60,,,22000,,,[0.349999994039536],,90,40,,xe vận tải,,,,663300
148,149,,,1,0.1,0.02,60,,,22000,,,[5.0],,90,40,,xe vận tải,,,,738100
149,150,,,1,0.1,0.02,60,,,22000,,,[0.600000023841858],,90,40,,xe vận tải,,,,740010
150,151,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,740020
151,152,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740020
152,153,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740020
153,154,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740020
154,155,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740020
155,156,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,740020
156,157,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740020
157,158,,,1,0.1,0.02,60,,,22000,,,[2.0],,90,40,,xe vận tải,,,,740020
158,159,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740165
159,160,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,740165
160,161,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,756036
161,162,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,756036
